2025.11.16 09:03:18 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\AuthResponse.java. Using fallback presentation compiler.
2025.11.16 09:03:18 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\AuthResponse.java. Using fallback presentation compiler.
2025.11.16 09:03:18 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\AuthResponse.java. Using fallback presentation compiler.
2025.11.16 09:03:18 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\RegisterRequest.java. Using fallback presentation compiler.
2025.11.16 09:03:19 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\RegisterRequest.java. Using fallback presentation compiler.
2025.11.16 09:03:20 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\AuthDTOs\RegisterRequest.java. Using fallback presentation compiler.
2025.11.16 09:03:20 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\DocumentNumberValidator.java. Using fallback presentation compiler.
2025.11.16 09:03:20 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\DocumentNumberValidator.java. Using fallback presentation compiler.
2025.11.16 09:03:21 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\DocumentNumberValidator.java. Using fallback presentation compiler.
2025.11.16 09:03:21 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\ValidDocumentNumber.java. Using fallback presentation compiler.
2025.11.16 09:03:21 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\ValidDocumentNumber.java. Using fallback presentation compiler.
2025.11.16 09:03:48 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Model\ValidDocumentNumber.java. Using fallback presentation compiler.
2025.11.16 09:03:48 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Zapatilla_variacion.java. Using fallback presentation compiler.
2025.11.16 09:03:48 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Zapatilla_variacion.java. Using fallback presentation compiler.
2025.11.16 09:04:54 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Zapatilla_variacion.java. Using fallback presentation compiler.
2025.11.16 09:04:54 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Enum\DocumentType.java. Using fallback presentation compiler.
2025.11.16 09:04:54 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Enum\DocumentType.java. Using fallback presentation compiler.
2025.11.16 09:04:55 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Enum\DocumentType.java. Using fallback presentation compiler.
2025.11.16 09:04:55 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Enum\RoleName.java. Using fallback presentation compiler.
2025.11.16 09:04:55 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Enum\RoleName.java. Using fallback presentation compiler.
2025.11.16 09:04:59 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Enum\RoleName.java. Using fallback presentation compiler.
2025.11.16 09:04:59 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Carrito.java. Using fallback presentation compiler.
2025.11.16 09:04:59 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Carrito.java. Using fallback presentation compiler.
2025.11.16 09:05:09 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Carrito.java. Using fallback presentation compiler.
2025.11.16 09:05:09 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Carrito.java. Using fallback presentation compiler.
2025.11.16 09:05:09 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Entity\Carrito.java. Using fallback presentation compiler.
